# First-link BK7259 SRAM/PSRAM layout. AP_PSRAM_HEAP retains the measured RTSA
# and RTM first-send headroom; resize only from target map and peak telemetry.
#Name,                   Type,     Offset,     Size
CP_RAM,                  SRAM, 0x28000000, 0x05F000
SWAP,                    SRAM,           , 0x001000
AP_HSRAM_HEAP,           SRAM, 0x28100000, 0x080000
AP_RAM,                  SRAM,           , 0x060000
PSRAM_MEM_SLAB_UNCODED, PSRAM, 0x60000000, 0x1000000
PSRAM_MEM_SLAB_CODED,   PSRAM, 0x64000000, 0xC27000
CP_PSRAM_HEAP,          PSRAM,           , 0x010000
AP_PSRAM_NOCACHE_HEAP,  PSRAM,           , 0x001000
AP_PSRAM_DATA_SECTION,  PSRAM,           , 0x017C00
AP_PSRAM_HEAP,          PSRAM,           , 0x166000
AP_PSRAM_CODE_SECTION,  PSRAM,           , 0x26A800
